iter	Logloss
0	0.6861151938
1	0.6808038761
2	0.675565512
3	0.6705055012
4	0.6643924986
5	0.6585205252
6	0.6539347311
7	0.6485259709
8	0.6425082035
9	0.6379614522
10	0.633074732
11	0.6281287643
12	0.6235754376
13	0.6183111478
14	0.6130665315
15	0.6089741736
16	0.6055463292
17	0.6007827055
18	0.5965163343
19	0.5925759401
20	0.5884092348
21	0.5844473847
22	0.5803886267
23	0.5769705005
24	0.5731859078
25	0.568895258
26	0.5653761763
27	0.562172777
28	0.5591778681
29	0.5558000364
30	0.5524186423
31	0.5494031701
32	0.5456841717
33	0.5422889621
34	0.5392114852
35	0.5353027052
36	0.5324656139
37	0.5289787644
38	0.5261888942
39	0.523912921
40	0.5212867679
41	0.5183205434
42	0.5155756248
43	0.5125449088
44	0.5097020951
45	0.5067659156
46	0.504395356
47	0.5016589701
48	0.4996485188
49	0.4973734386
50	0.4953810639
51	0.4937093382
52	0.4913803062
53	0.4887464142
54	0.4865557214
55	0.4846235839
56	0.4825334591
57	0.4808384448
58	0.4789086037
59	0.4768517142
60	0.4746135757
61	0.4730248272
62	0.4708336868
63	0.4693838136
64	0.4672058449
65	0.4651720121
66	0.4635056276
67	0.4616464135
68	0.4597422742
69	0.4579588093
70	0.4561016726
71	0.45463127
72	0.4527682271
73	0.4505882554
74	0.4488758277
75	0.4477506895
76	0.4464275589
77	0.4449726277
78	0.4438402052
79	0.4421633406
80	0.4406375613
81	0.4393936493
82	0.4380209133
83	0.4365109091
84	0.4346469109
85	0.4336758642
86	0.4322033438
87	0.4308599268
88	0.4296082623
89	0.4283711913
90	0.4269234622
91	0.4258446016
92	0.4246974469
93	0.4235458534
94	0.4220076545
95	0.4209085928
96	0.4197037375
97	0.4186100927
98	0.4176691232
99	0.4164502863
100	0.4157260531
101	0.4146472202
102	0.4137992907
103	0.4127681132
104	0.4117248314
105	0.4106054617
106	0.4097805867
107	0.4087017396
108	0.4078773128
109	0.4070397332
110	0.4061642658
111	0.4055419487
112	0.4044789432
113	0.4034620171
114	0.4027319588
115	0.401813299
116	0.4009680953
117	0.4000432547
118	0.3992111952
119	0.3987012992
120	0.3981707329
121	0.3972038675
122	0.3964868756
123	0.395629209
124	0.3947310826
125	0.3938800963
126	0.3930129265
127	0.3922860407
128	0.3916187018
129	0.3909686503
130	0.3903495943
131	0.3895009599
132	0.388817169
133	0.3878390737
134	0.3871315316
135	0.3864825073
136	0.3861989613
137	0.3856969091
138	0.385090308
139	0.3846362576
140	0.384105326
141	0.3835198145
142	0.3829292554
143	0.3822833822
144	0.3815911337
145	0.3811572415
146	0.3803129599
147	0.3797668697
148	0.3793119949
149	0.3786701338
150	0.3779565732
151	0.3776304555
152	0.3768086407
